selection,policy,feature_source,dev_acc,dev_hFPR,dev_keep,test_acc,test_hFPR,test_keep,test_cascade,test_ECR,note
fixed,Fixed 0.20,,0.804,0.202,0.200,0.781,0.247,0.200,0.200,0.508,fixed budget baseline
fixed,Fixed 0.25,,0.810,0.194,0.250,0.779,0.235,0.250,0.250,0.546,fixed budget baseline
fixed,Fixed 0.30,,0.812,0.194,0.300,0.783,0.243,0.300,0.300,0.589,fixed budget baseline
fixed,Fixed 0.35,,0.804,0.206,0.350,0.789,0.239,0.350,0.350,0.625,fixed budget baseline
fixed,Fixed 1.00,,0.791,0.217,1.000,0.783,0.255,1.000,1.000,1.000,fixed budget baseline
dev-selected,0.20->0.25->0.30 by entropy_risk >= 0.530304/0.646604,answer,0.818,0.186,0.213,0.779,0.235,0.218,0.266,0.523,legitimate split-safe adaptive result
posthoc-test-best,0.20->0.35->1.00 by u_conf_rank >= 0.6001/0.797297,answer,0.798,0.206,0.365,0.800,0.223,0.424,0.512,0.656,diagnostic upper bound only; not dev-selected
multi-signal-deployable,0.25->0.30->1.00 by risk(abs_margin:1) >= 0.950/0.950,deployable_answer,0.812,0.178,0.283,0.779,0.223,0.294,0.309,0.571,selector-side spatial/full-fallback search; lowers hFPR but still misses fixed-budget frontier
multi-signal-oracle_audit,0.20->0.30->1.00 by risk(evidence_patch_recall:1+abs_margin:1) >= 0.662/0.845,deployable_answer+oracle_audit,0.818,0.182,0.259,0.777,0.255,0.264,0.315,0.589,oracle-audit upper-bound search with evidence features; diagnostic only
learned-risk-base_error,0.20->0.30->0.35 by calibrated risk >= 0.571/0.742,deployable low-budget logistic risk predictor,0.818,0.190,0.233,0.783,0.239,0.246,0.324,0.548,learned calibrated risk predictor; reduces mean keep but does not beat fixed-budget frontier
learned-risk-recoverable_base_error,0.20->0.30->1.00 by calibrated risk >= 0.599/0.827,deployable low-budget logistic risk predictor,0.818,0.182,0.256,0.781,0.239,0.291,0.343,0.571,learned calibrated risk predictor; reduces mean keep but does not beat fixed-budget frontier
