model,method,ratio,implementation,status,n,n_images,acc,hFPR,pos_acc,neg_acc,yes_rate,keep_ratio,kept_visual,full_visual,ECR,path,note
Qwen3-VL-8B,direct,full,full,done,200,100,0.975,0.02,0.97,0.98,0.495,1.0,,,,runs/ocrbench_generalization/qwen3_8b_ocrbench100_direct,unpruned likelihood baseline
Qwen3-VL-8B,target_embed_topk,0.2,ours/proxy,done,200,100,0.865,0.1,0.83,0.9,0.465,0.20683832840861124,9.8,47.38,,runs/ocrbench_generalization/qwen3_8b_ocrbench100_target_embed_topk_0p20,target-conditioned visual token salience
Qwen3-VL-8B,target_embed_topk,0.3,ours/proxy,done,200,100,0.89,0.08,0.86,0.92,0.47,0.30709159983115236,14.55,47.38,,runs/ocrbench_generalization/qwen3_8b_ocrbench100_target_embed_topk_0p30,target-conditioned visual token salience
Qwen3-VL-8B,target_embed_grid_topk,0.3,ours OCR-safe,done,200,100,0.92,0.05,0.89,0.95,0.47,0.30709159983115236,14.55,47.38,,runs/ocrbench_generalization/qwen3_8b_ocrbench100_target_embed_grid_topk_0p30,"50% grid floor, then target-conditioned salience fill"
Qwen3-VL-8B,target_embed_grid_topk,0.4,ours OCR-safe,done,200,100,0.905,0.07,0.88,0.93,0.475,0.40586745462220347,19.23,47.38,,runs/ocrbench_generalization/qwen3_8b_ocrbench100_target_embed_grid_topk_0p40,"50% grid floor, then target-conditioned salience fill"
Qwen3-VL-8B,target_embed_grid_topk,0.5,ours OCR-safe,done,200,100,0.92,0.05,0.89,0.95,0.47,0.50147741663149,23.76,47.38,,runs/ocrbench_generalization/qwen3_8b_ocrbench100_target_embed_grid_topk_0p50,"50% grid floor, then target-conditioned salience fill"
Qwen3-VL-8B,grid,0.3,spatial baseline,done,200,100,0.89,0.05,0.83,0.95,0.44,0.30709159983115236,14.55,47.38,,runs/ocrbench_generalization/qwen3_8b_ocrbench100_grid_0p30,uniform grid keep baseline
Qwen3-VL-8B,random,0.3,random baseline,done,200,100,0.91,0.06,0.88,0.94,0.47,0.30709159983115236,14.55,47.38,,runs/ocrbench_generalization/qwen3_8b_ocrbench100_random_0p30,random keep baseline
LLaVA-1.5-7B,direct,full,full,done,200,100,0.635,0.65,0.92,0.35,0.785,1.0,,,,runs/ocrbench_generalization/llava15_7b_ocrbench100_direct,unpruned likelihood baseline
LLaVA-1.5-7B,embed_protected_topk,0.4,ours/proxy,done,200,100,0.62,0.68,0.92,0.32,0.8,0.4010416666666667,231.0,576.0,,runs/ocrbench_generalization/llava15_7b_ocrbench100_embed_protected_topk_0p40,evidence protection is inactive on OCRBench because no boxes are available
LLaVA-1.5-7B,grid,0.4,spatial baseline,done,200,100,0.64,0.62,0.9,0.38,0.76,0.4010416666666667,231.0,576.0,,runs/ocrbench_generalization/llava15_7b_ocrbench100_grid_0p40,uniform grid keep baseline
LLaVA-1.5-7B,VisionZip,0.4,official-algorithm port,done,200,100,0.605,0.7,0.91,0.3,0.805,0.4010416666666667,231.0,576.0,,runs/ocrbench_generalization/llava15_7b_ocrbench100_visionzip_0p40,LLaVA backend method-specific port
LLaVA-1.5-7B,FastV,0.4,official-algorithm port,done,200,100,0.5,0.0,0.0,1.0,0.0,0.4010416666666667,231.0,576.0,,runs/ocrbench_generalization/llava15_7b_ocrbench100_fastv_0p40,LLaVA backend method-specific port
InternVL3.5-8B,direct,full,full,done,200,100,0.935,0.12,0.99,0.88,0.555,1.0,,,,runs/ocrbench_generalization/internvl35_8b_ocrbench100_direct,unpruned likelihood baseline
InternVL3.5-8B,target_embed_topk,0.5,ours/proxy,done,200,100,0.9,0.16,0.96,0.84,0.56,0.5,842.24,1684.48,,runs/ocrbench_generalization/internvl35_8b_ocrbench100_target_embed_topk_0p50,target-conditioned visual token salience
InternVL3.5-8B,target_embed_grid_topk,0.5,ours OCR-safe,done,200,100,0.925,0.12,0.97,0.88,0.545,0.5,842.24,1684.48,,runs/ocrbench_generalization/internvl35_8b_ocrbench100_target_embed_grid_topk_0p50,"50% grid floor, then target-conditioned salience fill"
InternVL3.5-8B,target_embed_grid_topk,0.6,ours OCR-safe,done,200,100,0.925,0.09,0.94,0.91,0.515,0.6002445858662614,1011.1,1684.48,,runs/ocrbench_generalization/internvl35_8b_ocrbench100_target_embed_grid_topk_0p60,"50% grid floor, then target-conditioned salience fill"
InternVL3.5-8B,embed_topk,0.5,protocol proxy,done,200,100,0.815,0.26,0.89,0.74,0.575,0.5,842.24,1684.48,,runs/ocrbench_generalization/internvl35_8b_ocrbench100_embed_topk_0p50,generic embedding salience baseline; not an official external method
InternVL3.5-8B,grid,0.5,spatial baseline,done,200,100,0.915,0.12,0.95,0.88,0.535,0.5,842.24,1684.48,,runs/ocrbench_generalization/internvl35_8b_ocrbench100_grid_0p50,uniform grid keep baseline
