model,method,ratio,question_type,n,acc,hFPR,pos_acc,neg_acc,yes_rate
Qwen3-VL-8B,direct,full,Artistic Text Recognition,20,0.95,0.0,0.9,1.0,0.45
Qwen3-VL-8B,direct,full,Digit String Recognition,20,1.0,0.0,1.0,1.0,0.5
Qwen3-VL-8B,direct,full,Doc-oriented VQA,20,0.95,0.1,1.0,0.9,0.55
Qwen3-VL-8B,direct,full,Handwriting Recognition,20,1.0,0.0,1.0,1.0,0.5
Qwen3-VL-8B,direct,full,Handwritten Mathematical Expression Recognition,20,1.0,0.0,1.0,1.0,0.5
Qwen3-VL-8B,direct,full,Irregular Text Recognition,20,1.0,0.0,1.0,1.0,0.5
Qwen3-VL-8B,direct,full,Key Information Extraction,20,0.9,0.1,0.9,0.9,0.5
Qwen3-VL-8B,direct,full,Non-Semantic Text Recognition,20,1.0,0.0,1.0,1.0,0.5
Qwen3-VL-8B,direct,full,Regular Text Recognition,20,0.95,0.0,0.9,1.0,0.45
Qwen3-VL-8B,direct,full,Scene Text-centric VQA,20,1.0,0.0,1.0,1.0,0.5
Qwen3-VL-8B,target_embed_topk,0.2,Artistic Text Recognition,20,1.0,0.0,1.0,1.0,0.5
Qwen3-VL-8B,target_embed_topk,0.2,Digit String Recognition,20,0.8,0.0,0.6,1.0,0.3
Qwen3-VL-8B,target_embed_topk,0.2,Doc-oriented VQA,20,0.85,0.3,1.0,0.7,0.65
Qwen3-VL-8B,target_embed_topk,0.2,Handwriting Recognition,20,1.0,0.0,1.0,1.0,0.5
Qwen3-VL-8B,target_embed_topk,0.2,Handwritten Mathematical Expression Recognition,20,0.75,0.0,0.5,1.0,0.25
Qwen3-VL-8B,target_embed_topk,0.2,Irregular Text Recognition,20,0.85,0.3,1.0,0.7,0.65
Qwen3-VL-8B,target_embed_topk,0.2,Key Information Extraction,20,0.85,0.2,0.9,0.8,0.55
Qwen3-VL-8B,target_embed_topk,0.2,Non-Semantic Text Recognition,20,0.8,0.0,0.6,1.0,0.3
Qwen3-VL-8B,target_embed_topk,0.2,Regular Text Recognition,20,0.8,0.1,0.7,0.9,0.4
Qwen3-VL-8B,target_embed_topk,0.2,Scene Text-centric VQA,20,0.95,0.1,1.0,0.9,0.55
